color,condition,customerReviewAverage,customerReviewCount,description,features,longDescription,manufacturer,modelNumber,name,regularPrice,salePrice,shortDescription,sku,type,upc
Pink,New,,,,"[{'feature': 'The perfect starter cup\nLily Cup One offers teens and beginners an easy transition into the world of menstrual cups. Its petite shape, leak-proof double rim, easy removal loop and collapsible design make periods a breeze from start to finish'}, {'feature': 'Beginner-friendly design\nLily Cup One features a firmer leak-proof rim that&#8217;s easy to open and a removal ring for worry-free removal. It&#8217;s smaller in size but still high capacity for protection you can count on'}, {'feature': 'Any time protection\nLily Cup One is a reusable menstrual cup that you can use for up to 10 years&#8211; just wash it after use and carry it its convenient case for protection whenever you need it most'}, {'feature': ""It's time to switch\nMade from FDA approved medical-grade silicone, Lily Cup One is BPA-free and phthalate-free, hypoallergenic and contains no harmful chemicals or bleaches. It collects flow rather than absorbing it, so there&#8217;s no dryness or irritation""}, {'feature': 'Wallet & Earth friendly\nBe kind to the environment and your wallet at the same time. Stop throwing money away with your tampons and pads each month. One cup can last for years &#8211; reducing waste and saving you money'}]","Lily Cup One is the most comfortable and easiest to use menstrual cup for newbies and teens! Its petite shape, leak-proof double rim, and removal loop make periods a breeze from start to finish. It even collapses into a carry case the size of a lipstick. Made of ultra-smooth FDA-approved and BPA-free silicone, you won&#8217;t feel a thing while it collects your menstrual flow for up to 12 hours of eco-friendly protection. HOW TO USE: Wash your hands before using your Lily Cup. Submerge cup in boiling water for 5-8 min before first use. Fold cup by pushing the front rim of the cup down and in. Angle your cup towards your tailbone and insert it upwards until the ring is inside. Gently squeeze the base of the cup then rotate slightly to create seal. Wear for up to 12 hours and empty 2-3 times per 24 hour period. To remove, sit in a squatting position and bear down. Then grip the removal ring and slowly pull downwards. Squeeze the base to release the seal and pull the stem downwards. Empty fluid into the toilet and wash the cup, reinsert.",Intimina,6065,Intimina - Lily Cup One - Pink,29.95,20.99,,6507176,HardGood,7350075026065
Pink,New,,,,"[{'feature': 'Compact protection\nThis collapsible period cup folds flat into its carry-anywhere compact case, assuring your period never catches you off-guard. Comfortable and reusable, it offers up to 12 hours of hassle-free period protection, day and night'}, {'feature': 'Balanced intimate care\nLily Cup Compact menstrual cup does not disturb your intimate area&#8217;s natural balance since it collects menstrual flow as opposed to absorbing it. Thin medical-grade silicone won&#8217;t cause dryness, irritation, or discomfort'}, {'feature': 'Intune with the body\nShorter length and easy-grip stem make it perfectly shaped for women with a lower cervix. This soft period cup with a no-spill rim covers light to medium flow and is flexible for easy insertion and comfort during wear'}, {'feature': 'One with nature\nThe eco-friendly period alternative made from body-safe silicone contains zero toxins and is environmentally-friendly. The reusable and durable design makes it an affordable one-time investment that lasts for years'}, {'feature': 'Find your fit\nSize A is recommended for women who have not given birth or for those who have given birth by caesarean. Size B is recommended for women who have given birth vaginally or for those who have been diagnosed with a weaker pelvic floor'}]","The world&#8217;s first collapsible menstrual cup! Designed to fit your busy lifestyle. Lily Cup Compact is a new generation menstrual cup that collapses flat so you can carry it everywhere you go. Your period starting never has to be an emergency again! Lily Cup Compact&#8217;s medical grade silicone is ultra-smooth and flexible for easy folding, insertion, and total comfort during wear. Collecting your menstrual flow rather than absorbing it, Lily Cup Compact allows for a period that is completely odour-free with zero irritation. This superior alternative to pads and tampons is good for your body and the the environment. Lily Cup Compact is best for light to medium flow and gives up to 10 hours non-stop protection. WHY YOU'LL LOVE LILY CUP COMPACT: &#8226; Convenient &#8211; Carry it everywhere in its tiny case. &#8226; Healthy &#8211; Hypoallergenic, no dryness, and no irritation. Respects your intimate balance. &#8226; Comfortable &#8211; So smooth and flexible, it can&#8217;t be felt while worn. &#8226; No strings, no padding - wear whatever you want. &#8226; Safe &#8211; Made from 100% FDA approved medical-grade silicone that is BPA-free and phthalate- free. No harmful chemicals or bleaches. &#8226; Eco-friendly & Economical &#8211; Reduces waste: no more tampons or pads to bin. One cup can last for years.",Intimina,5457,Intimina - Lily Cup Compact B - Pink,34.95,34.95,,6507180,HardGood,7350075020117
Pink,New,,,,"[{'feature': 'Ultimate comfort, infinite possibilities\nZiggy&#8217;s revolutionary flat-fit design can&#8217;t be felt at all &#8211; no matter what you&#8217;re doing! Offering up to 12 hours of non-stop protection, it&#8217;s the only reusable cup that can be worn during sex'}, {'feature': 'Ultra thin design\nIt&#8217;s a high-capacity cup with a flexible, petal-thin body and leak-proof double rim for total peace of mind. Its flat design squishes thin for easy insertion, and sits right below the cervix for protection you won&#8217;t feel at all'}, {'feature': 'Any time protection\nZiggy is a reusable menstrual cup that you can use for up to 2 years &#8211; just wash it after use and carry it its convenient case for protection whenever you need it most'}, {'feature': ""It's time to switch\nMade from FDA approved medical-grade silicone, Lily Cup One is BPA-free and phthalate-free, hypoallergenic and contains no harmful chemicals or bleaches. It collects flow rather than absorbing it, so there&#8217;s no dryness or irritation""}, {'feature': 'Wallet & Earth friendly\nBe kind to the environment and your wallet at the same time. Stop throwing money away with your tampons and pads each month. One cup can last for years &#8211; reducing waste and saving you money'}]","Ziggy is a revolutionary menstrual cup with a flat-fit design that can&#8217;t be felt at all &#8211; no matter what you&#8217;re doing! It&#8217;s the only reusable cup that can be worn during sex, making it the first cup to truly offer you infinite possibilities for up to 12 hours of non-stop protection. With a petal-thin body and leak-proof double rim made of FDA-approved and BPA-free silicone, Ziggy gives you everything you&#8217;ve ever wanted from period protection: comfort, confidence and complete freedom. HOW TO USE: Wash your hands before using your Ziggy Cup. Submerge cup in boiling water for 5 - 8 min before first use. Use thumb and forefinger to squeeze the rim to make an 8 figure. Firmly push the back rim inside first, so it sits behind your cervix. Tuck the front rim up behind your pelvic bone. Wear for up to 12 hours and empty 2-3 times per 24 hours. To remove, hook your finger behind the front of the rim and gently slide out. Empty fluid into the toilet and wash the cup and reinsert.",Intimina,6140,Intimina - Ziggy Cup - Pink,39.95,39.95,,6507183,HardGood,7350075026140
Pink,New,,,,"[{'feature': 'Flat-fit design for absolute comfort & mess-free sex'}, {'feature': '100% medical grade silicone'}, {'feature': 'Only reusable cup you can use during sex'}, {'feature': 'Ribbed tab for slip-free removal'}]","Feel fearless during your period with Ziggy CupTM 2 - the next generation flat-fit menstrual cup. Reinforced, flexible petal-thin body is easy to insert and conforms to the shape of your body so you can&#8217;t feel it at all. Ultimate confidence in any situation with a leak-proof double rim, and ribbed tab to allow slip-free removal. Ziggy CupTM 2 is made entirely of 100% medical-grade silicone which makes it completely body-safe. It&#8217;s an eco-friendly period solution you can use over and over again for up to two years. This cup offers up to 8 hours of non-stop period protection. Because of the way it rests below the cervix, it catches your flow entirely so you can even enjoy mess-free sex, whenever you want.",Intimina,8601,Intimina - Ziggy Cup 2 Size B - Pink,44.95,44.95,,6507184,HardGood,7350075028601
Pink,New,,,,"[{'feature': 'Gentle sonic waves\nCruise&#8217;s sonic waves offer a gentle clitoral stimulation allowing you to enjoy the intensities without making direct contact.'}, {'feature': 'Large mouth\nCruise&#8217;s wide mouth gravitates around the center of your pleasure zone, engaging the entire erogenous area and enhancing the orgasmic sensation.'}, {'feature': 'CRUISE CONTROL\nAutomatically increases intensity when pressed hard against the body for controlled and consistent pleasure, every time.'}]","Find out more about your innermost fantasies with SILA&#8482; Cruise, the ideal choice for sex toy beginners on the verge of sensual exploration. Reach the climax of your dreams with gentle waves that you&#8217;ll feel reverberate from head to toe. SILA&#8482; Cruise offers a new way to experience foreplay and self-love, teasing you to reach your climax slowly as you listen to your body for a more intense orgasm. Cruise Control&#8482; technology embedded in SILA&#8482; Cruise makes the unique pulsations constant during use, so when it&#8217;s pressed hard against the body extra power is unleashed for an intense, deep release.Build your sexual experience with its softer, deeper, and overall bigger mouth that will give you complete satisfaction from top to bottom.",Lelo,8564,Lelo - SILA Cruise - Mini Massager - Pink,189.0,160.65,,6507341,HardGood,7350075028564
Pink,New,2.3,3.0,,"[{'feature': 'Heart Rate Monitor\nXMOVE can be used as a real-time monitor to detect your Heart Rate as well as helping you to exercise at the right intensity'}, {'feature': 'Sleep Monitoring\nMonitor your activity even while sleeping. The Xplora XMOVE measures the duration and quality of sleep, which can then be evaluated in your Xplora app'}, {'feature': 'Sports Monitoring Modes\nThe XMOVE has various sports modes designed to monitor and measure activity including running, walking, cycling or even climbing'}, {'feature': 'Movement Reminders\nA built-in sensor monitors your inactivity and reminds you to move to maintain a healthier lifestyle'}, {'feature': 'GOPLAY\nTurn your activity into rewards. Our Goplay platform helps you find a balance between physical activity and media time by being rewarded for your activities with Xplora coins'}, {'feature': 'Notification Sync\nGet your notifications sent directly to your wrist. If you wish to connect a cell phone to the XMOVE via Bluetooth then it can display call alerts, messages and reminders from your cell phone directly on your Xplora XMOVE'}, {'feature': 'Battery Life\nLong lasting battery with up to 3 days working time and up to 8 days standby time'}, {'feature': 'Compatibility\nThe device is both iOS and Android compatible'}]","The XMOVE is the very first activity tracker for the whole family and the perfect entry-level product for a healthier lifestyle. Featuring a sleek and elegant design the XMOVE comes packed with great features to help you remain active and connected.  A built-in sensor monitors inactivity and provides movement reminders. It also features additional modes that monitor running, walking, cycling and more.",Xplora,XMOVE-EU-PINK,Xplora - XMOVE 35mm Activity and Fitness Tracker with Heart Rate Monitor - Pink,49.99,49.99,,6508985,HardGood,7090048400736
Pink,New,4.8,21.0,,"[{'feature': 'Compatibility\nCompatible with Android and IOS devices'}, {'feature': 'Function\nIt&#8217;s the ultimate device for a healthier, more active life that can provide blood-oxygen saturation measurement, monitoring of heart rate all day & abnormal heart rate warnings, stress levels & sleep tracking, as well as recording female menstrual period.'}, {'feature': 'Display\nImmerse yourself in the 1.69"" super-large and colorful HD display, and see all your incoming text and calls in awesome, expansive quality. Express more of yourself with 50+ watch faces and editable watch faces & widgets - or customize with your own photos.'}, {'feature': 'Unique Features\nUnplug yourself for up to two weeks with typical usage. The Bip 3 Pro smartwatch packs a powerful battery into its super slim and light body, so you can pack something more fun than a charger into your case.'}, {'feature': 'Design\nSquare shape that looks sporty and stylish'}, {'feature': 'Additional Information\nsupports 4 satellite positioning systems to help you track your moves through the great outdoors with high precision.'}, {'feature': '60+ sports modes\nFeatures over 60 sports modes and can control music on your phone, provide notifications about exercise stages, conditions and heart rate zones'}, {'feature': 'Customize\nExpress more of yourself with 50+ watch faces to choose from. Accessorize with editable watch faces & widgets. Also customize with your own photos.'}]","Amazfit Bip 3 Pro Smartwatch guides you toward a healthier, more active, more connected life. The watch packs a 1.69"" super-sized color screen into its slim and light body. The four satellite positioning systems provide faster, more accurate performance tracking. The powerful battery delivers up to 14 days of battery life. Exercise at a higher level with 60+ sports modes and Target Pace function. Swim with your Bip 3 Pro without worry! The Bip 3 Pro offers water-resistance grade of 5 ATM. The Bip 3 Pro  tracks a variety of different, helpful health metrics including: SpO2 measurement, 24/7 heart rate monitoring, sleep analysis, stress detection, and menstrual cycle tracking. Compatible with Android 7.0 and above and IOS 12.0 and above device.",Amazfit,W2171GL2N/W2171OV5N,Amazfit - Bip 3 Pro Smartwatch 42.9mm - Pink,69.99,49.99,,6510154,HardGood,850037656554
Pink,New,,,,"[{'feature': 'Blocks harmful Blue Light emitted from Digital Screens'}, {'feature': '100% UV Protection'}, {'feature': 'Rubberized Soft Touch Finish'}, {'feature': 'Comfort Spring Hinges'}, {'feature': 'Microfiber Cleaning Cloth Eyewear Pouch included'}]","Among the first reading glass collection to feature Blue-Light Blocking technology in the market, ONLY Blue-Light Reading Glasses has made its way to the hearts of so many.  The ONLY Blue Light Reading Glasses combine Blue-Light filtering Lenses with beautifully crafted, easy frame shapes featuring flexible spring hinges for comfort and soft rubberized finish for a non-slip, supple touch.  It&#8217;s the ONLY Blue-Light Reading Glasses you&#8217;ll ever need!",ONLY,50054-0812YB-ONLY,ONLY KIDS Blue Light Blocking Glasses - Pink,19.99,19.99,,6516872,HardGood,810078568537
Pink,New,,,,"[{'feature': 'Compatibility\nCompatible with Android and IOS devices'}, {'feature': 'Function\n120 Built-in Sports Modes, 24H Blood-oxygen Monitoring, Test 3 Health Metrics in 1 Tap'}, {'feature': 'Display\nThe large 1.47&#8221; display can fit more important information and reduce the scrolling. It is 112% screen size increase compare to the Band 5. The HD full color AMOLED'}, {'feature': 'Unique Features\n18-day Battery Life, say goodbye to daily recharge. When fully charged, the 230 mAh battery of the Amazfit Band 7 can last up to 18 days with a typical use, and up to 9 days with a heavy use.'}, {'feature': 'Design\nRectangular shape that looks sporty and stylish'}, {'feature': 'Additional Information\n5 ATM water-resistance'}, {'feature': '120+ sports modes\nproviding useful exercise data such as distance, speed, heart rate, calories burned, etc. making your exercise more efficient. With automatic recognition of 4 sports, the users don&#8217;t need to manually open the sports modes, and can jump right into action.'}, {'feature': 'Customize\n50+ customizable watch faces. Featuring always on display & upload your own image.'}]","Amazfit Band 7 offers big features in a small package. The Band 7 has a 1.47&#8221; display bring you a clear visual experience. When fully charged the device can last up to 18 days with a typical use and up to 9 days with heavy use. The Amazfit Band 7 can assess three health indicators (SPO2, heart-rate and stress) with one click in only 45 seconds. The Band 7 offers 120 sport modes to track useful exercise data like distance, speed, heart rate, etc.",Amazfit,B2177OV3N,Amazfit - Band 7 Activity and Fitness Tracker 37.3mm - Pink,49.99,49.99,,6527244,HardGood,850043869313
Pink,New,5.0,2.0,,"[{'feature': '22ml Water Tank\nUse for a full day, 16-18 times'}, {'feature': 'Rechargable\nUSB Cable included'}, {'feature': 'Powerful Mist\nGenerates mist within 10&#8217; in nano-size particles'}, {'feature': 'Moisturize and refresh\nUse on skin or hair for refreshing hydration'}, {'feature': 'Auto shut-off\nConveniently shuts off after 1 minute of use'}]","Prospera&#8217;s Hand-Held Nano Mist Facial Steamer uses advanced Nano technology for deep hydration. Under ultra-high frequency, water will turn into micro-sized particles and can be easily absorbed by the skin. The unit is easy-to-carry, fits in your purse, and has a ready-to-use design. The 22ml large water-tank capacity allows you to use it the whole day without adding water again. This user-friendly face steamer and sprayer with ultrasonic vibration technology moisturizes your skin deeply anytime, anywhere. It can produce the finest mist in 10 seconds. Simply turn on the switch and the nano-sized water particles will be emitted to your face or hands, refreshing your skin instantly. Makeup Routine: The Hand-Held Nano Mist Facial Steamer can be used to set makeup, refresh your look, or as a moisturizer &#8211; a necessary item for your every day routine! Refresh Your Skin: This steamer is essential for when you feel tired &#8211; the invigorating mist will help refresh you quickly!",Prospera,DL016-P,Prospera Hand-Held Nano Mist Facial Steamer - Pink,49.99,49.99,,6527918,HardGood,850011335185
Pink,New,4.4,11.0,,"[{'feature': 'Compatible with Garmin v&#237;vofit wireless activity trackers\nSecures your device on your wrist'}, {'feature': 'Small size\nAccommodates 4-3/4"" - 6-9/10"" wrists'}, {'feature': '3 colored bands\nTo optimize your style'}]",Personalize your Garmin v&#237;vofit wireless activity tracker with these Garmin v&#237;vofit 010-12149-15 accessory bands that offer smaller wrists a comfortable fit. The different color bands match your style.,Garmin,010-12149-05,vívofit Accessory Bands for Garmin vívofit Wireless Activity Trackers (Small) - Pink,21.99,21.99,,9440142,HardGood,753759119720
Pink Lavender,New,,,,"[{'feature': ""Leak-proof lid\nEasy to open and won't leak""}, {'feature': 'Double-wall design\nKeeps bottles sweat-free'}, {'feature': 'Powder coated for sure grip\nEven when hands are sweaty'}, {'feature': 'Vacuum insulation\nKeeps drinks ice cold to help you revive quickly'}, {'feature': 'No flavor transfer\nSwitch from pre-workout, to water, to protein shake with no lingering tastes'}, {'feature': 'Removable, protective bumper\nAdded durability'}, {'feature': 'Lifetime Warranty\nAwesome. Guaranteed'}]","Great for a big thirst, minimal refills, or to share. Hydrate at the gym in a big way or keep your favorite brew frosty cold. Featuring a protective silicone bumper and our leak-proof Insulated Spout Lid&#8482; for easy, controlled, one-handed drinking and all day carrying comfort. Get ready for a whole lot of refreshment!",Takeya,52036,Takeya - Actives 40oz Spout Bottle - Pink Lavender,44.99,31.49,,6498456,HardGood,885395520360
Pink Lavender,New,,,,"[{'feature': ""Leak-proof lid\nEasy to open and won't leak""}, {'feature': 'Double-wall design\nKeeps bottles sweat-free'}, {'feature': 'Powder coated for sure grip\nEven when hands are sweaty'}, {'feature': 'Vacuum insulation\nKeeps drinks ice cold to help you revive quickly'}, {'feature': 'No flavor transfer\nSwitch from pre-workout, to water, to protein shake with no lingering tastes'}, {'feature': 'Removable, protective bumper\nAdded durability'}, {'feature': 'Lifetime Warranty\nAwesome. Guaranteed'}]","Perfect for all-day hydration, our 32oz insulated bottle keeps you going strong. Featuring our leak-proof Insulated Spout Lid&#8482; for easy, controlled, one-handed drinking and all day carrying comfort. 32 ounces of pure refreshment. Guaranteed.",Takeya,51852,Takeya - Actives 32oz Spout Bottle - Pink Lavender,39.99,27.99,,6498459,HardGood,885395518527
Pink Lavender,New,5.0,1.0,,"[{'feature': ""Leak-proof lid\nEasy to open and won't leak""}, {'feature': 'Double-wall design\nKeeps bottles sweat-free'}, {'feature': 'Powder coated for sure grip\nEven when hands are sweaty'}, {'feature': 'Vacuum insulation\nKeeps drinks ice cold to help you revive quickly'}, {'feature': 'No flavor transfer\nSwitch from pre-workout, to water, to protein shake with no lingering tastes'}, {'feature': 'Removable, protective bumper\nAdded durability'}, {'feature': 'Lifetime Warranty\nAwesome. Guaranteed'}]","Great for a big thirst, minimal refills, or to share. Hydrate at the gym in a big way or keep your favorite brew frosty cold. Featuring a protective silicone bumper and our leak-proof Insulated Spout Lid&#8482; for easy, controlled, one-handed drinking and all day carrying comfort. Get ready for a whole lot of refreshment!",Takeya,51192,Takeya - Actives 64oz Straw Bottle - Pink Lavender,59.99,41.99,,6498467,HardGood,885395511924
Pink Lavender,New,4.9,651.0,,"[{'feature': ""Leak-proof lid\nEasy to open and won't leak""}, {'feature': 'Double-wall design\nKeeps bottles sweat-free'}, {'feature': 'Powder coated for sure grip\nEven when hands are sweaty'}, {'feature': 'Vacuum insulation\nKeeps drinks ice cold to help you revive quickly'}, {'feature': 'No flavor transfer\nSwitch from pre-workout, to water, to protein shake with no lingering tastes'}, {'feature': 'Removable, protective bumper\nAdded durability'}, {'feature': 'Lifetime Warranty\nAwesome. Guaranteed'}]","This convenient size will keep you hydrated through any workout or adventure, and also fits in most cup holders. Featuring our leak-proof Insulated Spout Lid for easy, controlled, one-handed drinking. Don&#8217;t leave home without it!",Takeya,51231,Takeya - Active 24oz Spout Bottle - Pink Lavender,34.99,24.49,,6498468,HardGood,885395512310
Pink Sand,New,3.9,97.0,,"[{'feature': 'Compatible with Fitbit Inspire and Inspire HR activity trackers\nFor use with your existing device.'}, {'feature': 'Soft silicone material\nProvides a comfortable wearing experience while you stay active.'}, {'feature': 'Adjustable design\nEnsures an optimal fit for wrists 3.86"" - 4.74"" in circumference.'}, {'feature': 'Easy-release connectors\nAllow simple attachment to and removal from your Fitbit Inspire and Inspire HR.'}]","Create a customized look for your wearable with this pink Modal silicone band. The easy-release connectors enable quick attachment and removal, while the adjustable design provides a secure, comfortable fit for your wrist size. This Modal silicone band is compatible with Fitbit Inspire and Fitbit Inspire HR fitness trackers for seamless functionality.",Modal™,MD-FIBSPS,Modal™ - Silicone Band for Fitbit Inspire and Inspire HR - Pink Sand,7.99,7.99,,6380015,HardGood,600603257711
Pink/White,New,5.0,8.0,,"[{'feature': 'Attachments\nincludes 7 high-quality, durable sapphire attachments, also suitable for diabetics'}, {'feature': 'Includes Nail care set\n2 x nail clippers, nail scissors, cuticle remover, cuticle fork for removing flaking skin, tweezers, nail file'}, {'feature': 'Ergonomic Design\nFor comfortable use and to prevent slipping during treatment'}, {'feature': 'Continuously adjustable\nclockwise/anti-clockwise rotation'}, {'feature': 'Also includes\nstorage bag and protective cap for nail dust'}]","Salon manicures can be expensive and time consuming, but the Beurer MP44 Nail Drill Set allows you to achieve salon-quality nails wherever you go! The Electric nail drill comes with a manual nail care set with all the essentials you need for flawless nails. The sleek portable design of the nail drill, along with the storage case makes it ideal for travel. This electric nail file can be used for all-around shaping, buffing and is perfect for the removal of acrylic, gel, and dip powder nails. It is suitable for both natural and artificial nails. The MP44 Manicure Drill is the all-in-one nail maintenance device that brings the salon to you.",Beurer,MP44,Beurer - 18-piece Manicure/Pedicure Device and Nail Set - Pink/White,59.99,59.99,,6496072,HardGood,850018808330
Pink/White,New,4.9,62.0,,"[{'feature': ""Remove surface stains for whiter teeth in just 3 days\nBoost your smile's brightness with advanced Sonicare technology. Polishing bristles remove up to 100% more stain than a manual toothbrush for visibly whiter teeth in just 3 days.""}, {'feature': 'Hard on plaque, gentle on your gums\nThe C3 Premium Plaque Control brush head is designed to give you your deepest clean yet. Soft, flexible sides and bristles perfectly curve around the contours of your teeth, giving you 4x more surface contact and helping target hard-to-reach spots.'}, {'feature': 'Stylish design for a premium brushing experience\nOur DiamondClean 9000 comes with a standout ombr&#233; design for a premium, ergonomic brushing experience that suits your style. Slim, compact travel case in a complementary color goes anywhere life takes you.'}, {'feature': ""Pressure sensor\nNotifies you when you're brushing too hard""}, {'feature': 'Premium Accessories\nElegant charging glass and premium travel case included'}]","Get a healthier, brighter smile with the Philips Sonicare 9000 Special Edition. This toothbrush features a pressure sensor, 4 brushing modes, 3 intensities and smart brush head mode pairing technology. The Philips Sonicare 9000 Special Edition will look beautiful in your bathroom, with elegant charging glass and premium finishings. Track your brushing within the Sonicare App to ensure you're reaching your oral health care goals.",Philips Sonicare,HX9911/90,Philips Sonicare 9000 Special Edition Rechargeable Toothbrush - Pink/White,189.99,189.99,,6514200,HardGood,075020105028
Platinum,New,4.3,1709.0,,"[{'feature': ""Daily Readiness Score\nOptimize your workout routine with a score that reveals if you're ready to exercise or should focus on recovery. You'll get a personalized activity goal for the day, plus recommended workouts or recovery sessions based on your score.&#178;""}, {'feature': ""Stress Management Score\nGet a daily score showing your body's physical response to stress. You can see how your exercise routine, mindfulness practice and sleep help to manage your stress levels.""}, {'feature': ""EDA Sensor\nTake steps to improve your stress levels with an on-wrist EDA sensor mindfulness session. The app detects electrodermal activity--tiny changes in your skin's sweat level which may indicate your body's response to stress.""}, {'feature': ""Fitbit ECG App & Irregular Heart Rhythm Notifications\nThere are two ways to uncover AFib, right at your fingertips. With the ECG app, you can take an assessment on demand. Plus, use irregular heart rhythm notifications to look for signs of AFib while you're still or sleeping.&#179;""}, {'feature': 'High & Low Heart Rate Notifications\nYour heart rate is a key factor of health, so stay informed when Charge 5 detects that your heart rate is above or below your threshold.'}, {'feature': '6=Month Premium Membership\nCharge 5 unlocksa 6-month membership complete with personalized insights, advanced analytics, guided programs, mindfulness & sleep tools, workouts and more.&#185;'}, {'feature': 'Built-in GPS\nSee your real-time pace & distance without your phone using built-in GPS during outdoor activity, then see a map of your workout route in the Fitbit app.&#8308;'}, {'feature': ""Vibrant Color Display\nYour stats come to life on a new color touchscreen that's two times brighter than Charge 4 in daylight and protected by Corning&#174; Gorilla&#174; Glass 3.""}, {'feature': 'Up to 7-Day Battery Life\nWith a long battery life, Charge 5 tracks all your moves for up to 7 days without having to stop for a charge.&#8309;'}, {'feature': '24/7 Heart Rate Tracking with PurePulse&#174;\nTrack calorie burn and optimize workouts with PurePulse continuous heart rate tracking, then see you resting heart rate trends and cardio fitness level (VO2 Max) in the Fitbit app.'}, {'feature': 'Active Zone Minutes\nGet the results you want from every workout. Active Zone Minutes uses your heart rate to guide you toward your desired intensity level--then helps keep you there.'}, {'feature': 'Sleep Score & Sleep Stages\nGet a better understanding of your sleep quality with a daily Sleep Score and graphs of the your time in light, deep, and REM sleep--then see how you can improve your sleep and wake up feeling energized.'}, {'feature': 'Oxygen Saturation (SpO2) Monitoring\nTrack SpO2--the level of oxygen in your blood--to help you learn when there may be an indication of important changes in your overall wellness.&#8310;'}, {'feature': 'Skin Temperature Tracking\nCharge 5 tracks your skin temperature variation each night to spot changes from your baseline. Changes could be related to environmental or wellness factors.&#8311;'}, {'feature': '20 Exercise Modes\nSet personal goals for runs, rides, strength training and more, then get real-time stats to help you keep the pace or maintain your target heart rate zone.'}, {'feature': 'Sleek Design\nCharge 5 is packed with new technology, yet 10% slimmer than Charge 4. It features a stainless steel build and a polished finish while sitting flat on the wrist for a modern, minimalist look.'}, {'feature': '&#185; New and returning Premium users only. Must activate membership within 60 days of device activation (requires valid payment method). Cancel before membership ends to avoid recurring fees. Content and features may change. Terms & conditions apply.'}, {'feature': '&#178; Daily Readiness requires a Fitbit Premium membership. Premium content recommendations are not available in all locales and may be in English only.'}, {'feature': '&#179; The Fitbit ECG app and irregular heart rhythm notifications are only available in select countries and with select Fitbit products; not intended for use by people under 22 years old. The irregular heart rhythm notifications feature is not intended for use by people with known AFib.'}, {'feature': '&#8308; Varies with use and other factors. Up to 5 hours with continuous GPS.'}, {'feature': '&#8309; Varies with use and other factors.'}, {'feature': '&#8310; Not available in all markets. The SpO2 feature is not intended to diagnose or treat any medical condition or for any other medical purpose. It is intended to help you manage your well-being and keep track of your information. This feature requires more frequent charging.'}, {'feature': '&#8311; Not available in all markets.'}, {'feature': 'Note: Requires use of Fitbit app with compatible iPhone or Android devices. A Google account will be required.'}]","Do what's best for your body. Fitbit Charge 5 + Premium connects the dots between your activity, sleep and stress so you can make the best decisions for your body, mind and health. It all starts with your 6-month Premium membership1 and Daily Readiness2, a score based on activity, sleep and heart rate variability (HRV) that helps you optimize your workout routine. Your score comes with personalized activity recommendations: low means go easy and recover--light yoga, deep breathing--while a high score gives you the green light to go all out. Enhance your recovery routine with advanced stress-management tools like the on-wrist EDA sensor. Stay ahead of heart health with atrial fibrillation (AFib) heart rhythm assessments using the on-wrist ECG app.3 And you'll always have motivation to reach new goals with hundreds of guided workouts, a gallery of refreshing mindfulness sessions plus the fitness features you know and love like Active Zone Minutes and built-in GPS. Fitbit is part of the Google family.",Fitbit,FB421SRBU,Fitbit - Charge 5 Advanced Fitness & Health Tracker - Platinum,149.95,99.95,,6476123,HardGood,810038857220
Plum,New,,,,"[{'feature': ""Discreetly Powerful\nThe world's first scented (Bordeaux & Chocolate) intimate massager designed to stimulate all the senses, blending incredible power and elegantly seductive beauty in this petite vibrator.""}, {'feature': 'Luxurious Pleasure\nIdeal for External Stimulation of All Your Erogenous Zones'}, {'feature': '8 Vibrations patterns with Adjustable Speeds\nUltra-Powerful and Satisfying Vibration Modes'}, {'feature': 'Rechargeable & Fully Waterproof\n100% waterproof design and USB rechargeable for pleasure anytime, anywhere.'}]","More powerful, more beautiful, and more discreet, LILY 2 is perfect for solo play or between partners. Infused with a signature fragrance to satisfy all of your senses. Chargeable via USB with 8 vibration patterns, this bestselling LELO is also fully waterproof and covered by a full LELO warranty.",Lelo,2784,Lelo - LILY 2 - Mini Massager - Plum,149.0,126.65,,6472918,HardGood,7350075022784
Plum,New,3.0,1.0,,"[{'feature': 'Find your ideal pace with 12 vibration settings'}, {'feature': 'Longer-lasting charge for hours upon hours of pleasure'}, {'feature': 'WaveMotion&#8482; Technology for a thrilling hither motion'}, {'feature': '100% Waterproof and USB-rechargeable for versatility'}]","Get in touch with all your pleasure points! With the surging finger-like massage motion of LELO&#8217;s WaveMotion&#8482; technology, 12 powerful vibration modes, delicate silicone, and a wider range of intensities, INA WAVE 2 rabbit vibrator offers a revolutionary exploration of your body. The most powerful orgasm joins clitoral and G-spot satisfaction. You&#8217;re in control of the power and surge you want.",Lelo,8465,Lelo - INA WAVE 2 - Dual Vibrating Rabbit Massager - Plum,199.0,169.15,,6486734,HardGood,7350075028465
